Id,Name,State,Year,ElectionID,Candidate,Party,votes_2cp,margin_2cp,margin_percentage_2cp,swing_2cp,Status,source,Note
85310,Calare,NSW,2001,201,"ANDREN, Peter",IND,59548,NA,75.04,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85310,Calare,NSW,2001,201,"SHEARING, Dave",NP,19809,NA,24.96,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83459,Charlton,NSW,2001,201,"HOARE, Kelly",ALP,43151,NA,56.66,-5.54,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83459,Charlton,NSW,2001,201,"PATERSON, Lindsay",LP,33011,NA,43.34,5.54,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83474,Chifley,NSW,2001,201,"ASARLOGLOU, Costa",LP,24785,NA,34.71,5.98,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83474,Chifley,NSW,2001,201,"PRICE, Roger",ALP,46628,NA,65.29,-5.98,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82150,Cook,NSW,2001,201,"BAIRD, Bruce",LP,47768,NA,64,4.63,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82150,Cook,NSW,2001,201,"YOUNG, Peri",ALP,26866,NA,36,-4.63,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
79982,Cowper,NSW,2001,201,"BONFIELD, Jenny",ALP,33094,NA,45.27,0.98,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
79982,Cowper,NSW,2001,201,"HARTSUYKER, Luke",NP,40006,NA,54.73,-0.98,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81540,Cunningham,NSW,2001,201,"FIELDS, Jeremy",LP,29140,NA,39.35,7.12,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81540,Cunningham,NSW,2001,201,"MARTIN, Stephen",ALP,44904,NA,60.65,-7.12,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82002,Dobell,NSW,2001,201,"LEE, Michael",ALP,37005,NA,49.62,-1.91,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82002,Dobell,NSW,2001,201,"TICEHURST, Ken",LP,37565,NA,50.38,1.91,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85815,Eden-Monaro,NSW,2001,201,"WHAN, Steve",ALP,37918,NA,48.31,-1.08,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85815,Eden-Monaro,NSW,2001,201,"NAIRN, Gary",LP,40579,NA,51.69,1.08,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84423,Farrer,NSW,2001,201,"BOTT, Bill",NP,37663,NA,49.86,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84423,Farrer,NSW,2001,201,"LEY, Sussan",LP,37869,NA,50.14,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82745,Fowler,NSW,2001,201,"WATSON, Glenn",LP,19215,NA,28.51,4.51,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82745,Fowler,NSW,2001,201,"IRWIN, Julia",ALP,48174,NA,71.49,-4.51,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83909,Gilmore,NSW,2001,201,"KNOTT, Peter",CLR,27166,NA,35.37,-10.07,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83909,Gilmore,NSW,2001,201,"GASH, Joanna",LP,49634,NA,64.63,10.07,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86146,Grayndler,NSW,2001,201,"ALBANESE, Anthony",ALP,52770,NA,71.29,-1.02,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86146,Grayndler,NSW,2001,201,"KENWORTHY, Brett",LP,21249,NA,28.71,1.02,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85876,Greenway,NSW,2001,201,"MOSSFIELD, Frank",ALP,40310,NA,53.11,-6.44,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85876,Greenway,NSW,2001,201,"HOLDER, Rick",LP,35583,NA,46.89,6.44,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84602,Gwydir,NSW,2001,201,"ANDERSON, John",NP,49844,NA,64.88,2.88,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84602,Gwydir,NSW,2001,201,"MURNAIN, Anne",CLR,26983,NA,35.12,-2.88,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85741,Hughes,NSW,2001,201,"VALE, Danna",LP,47773,NA,60.41,4.05,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85741,Hughes,NSW,2001,201,"HAWKINS, Christine",ALP,31302,NA,39.59,-4.05,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85640,Hume,NSW,2001,201,"SCHULTZ, Alby",LP,47278,NA,59.79,2.46,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85640,Hume,NSW,2001,201,"MERRIMAN, Jan",ALP,31796,NA,40.21,-2.46,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84649,Hunter,NSW,2001,201,"MACAULAY, Rob",NP,30759,NA,39.14,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84649,Hunter,NSW,2001,201,"FITZGIBBON, Joel",ALP,47838,NA,60.86,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86647,Kingsford Smith,NSW,2001,201,"NOTLEY-SMITH, Bruce",LP,31395,NA,41.1,4.05,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86647,Kingsford Smith,NSW,2001,201,"BRERETON, Laurie",ALP,44995,NA,58.9,-4.05,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81618,Lindsay,NSW,2001,201,"BRADBURY, David",ALP,32580,NA,44.53,-2.45,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81618,Lindsay,NSW,2001,201,"KELLY, Jackie",LP,40590,NA,55.47,2.45,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83707,Lowe,NSW,2001,201,"MURPHY, John",ALP,40271,NA,53.81,-0.89,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83707,Lowe,NSW,2001,201,"DOUST, David",LP,34571,NA,46.19,0.89,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86901,Lyne,NSW,2001,201,"VAILE, Mark",NP,49057,NA,61.24,1.11,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86901,Lyne,NSW,2001,201,"STEVENS, Pat",CLR,31052,NA,38.76,-1.11,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
80127,Macarthur,NSW,2001,201,"OATES, Meg",ALP,30798,NA,43.04,-8.65,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
80127,Macarthur,NSW,2001,201,"FARMER, Pat",LP,40767,NA,56.96,8.65,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86505,Mackellar,NSW,2001,201,"BISHOP, Bronwyn",LP,52039,NA,66.87,-0.26,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86505,Mackellar,NSW,2001,201,"CARPENTIER, Ben",ALP,25783,NA,33.13,0.26,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86364,Macquarie,NSW,2001,201,"SEARLE, Adam",ALP,32598,NA,41.33,-2.9,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86364,Macquarie,NSW,2001,201,"BARTLETT, Kerry",LP,46273,NA,58.67,2.9,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86647,Mitchell,NSW,2001,201,"CADMAN, Alan",LP,56366,NA,71.32,1.85,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86647,Mitchell,NSW,2001,201,"McSHANE, John",ALP,22666,NA,28.68,-1.85,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
89198,Newcastle,NSW,2001,201,"WILLIAMS, David M",LP,34497,NA,43.09,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
89198,Newcastle,NSW,2001,201,"GRIERSON, Sharon",ALP,45555,NA,56.91,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84941,New England,NSW,2001,201,"WINDSOR, Tony",IND,46580,NA,58.3,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84941,New England,NSW,2001,201,"ST. CLAIR, Stuart",NP,33323,NA,41.7,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
88755,North Sydney,NSW,2001,201,"HOCKEY, Joe",LP,49934,NA,63.22,0.55,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
88755,North Sydney,NSW,2001,201,"TEIRNEY, Fran",ALP,29055,NA,36.78,-0.55,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82272,Page,NSW,2001,201,"FLANAGAN, Terry",CLR,35213,NA,47.23,0.59,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82272,Page,NSW,2001,201,"CAUSLEY, Ian",NP,39342,NA,52.77,-0.59,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83036,Parkes,NSW,2001,201,"KNAGGE, Joe",CLR,31596,NA,41.26,-2.36,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83036,Parkes,NSW,2001,201,"COBB, John",NP,44982,NA,58.74,2.36,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87286,Parramatta,NSW,2001,201,"BORGER, David",ALP,37593,NA,48.85,-3.64,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87286,Parramatta,NSW,2001,201,"CAMERON, Ross",LP,39367,NA,51.15,3.64,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82782,Paterson,NSW,2001,201,"HORNE, Bob",ALP,37463,NA,48.58,-0.17,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
82782,Paterson,NSW,2001,201,"BALDWIN, Bob",LP,39658,NA,51.42,0.17,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86641,Prospect,NSW,2001,201,"PERKINS, Gareth",LP,27945,NA,37.19,3.96,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86641,Prospect,NSW,2001,201,"CROSIO, Janice",ALP,47197,NA,62.81,-3.96,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
77031,Reid,NSW,2001,201,"YUSUF, Irfan",LP,21165,NA,33.13,5.29,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
77031,Reid,NSW,2001,201,"FERGUSON, Laurie",ALP,42726,NA,66.87,-5.29,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81312,Richmond,NSW,2001,201,"ANTHONY, Larry",NP,37545,NA,51.68,0.84,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81312,Richmond,NSW,2001,201,"McALLISTER, Jenny",CLR,35108,NA,48.32,-0.84,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87399,Riverina,NSW,2001,201,"ALBISTON, Andrew",CLR,24209,NA,30.13,-5.21,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87399,Riverina,NSW,2001,201,"HULL, Kay",NP,56138,NA,69.87,5.21,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84366,Robertson,NSW,2001,201,"MORAN, Trish",ALP,32562,NA,43.02,-4.97,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84366,Robertson,NSW,2001,201,"LLOYD, Jim",LP,43121,NA,56.98,4.97,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86261,Shortland,NSW,2001,201,"PERREM, Brian",LP,32465,NA,41.22,3.45,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86261,Shortland,NSW,2001,201,"HALL, Jill",ALP,46290,NA,58.78,-3.45,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86143,Sydney,NSW,2001,201,"PLIBERSEK, Tanya",ALP,48363,NA,65.04,-4.73,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86143,Sydney,NSW,2001,201,"PETTETT, Jeff",LP,25996,NA,34.96,4.73,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84412,Throsby,NSW,2001,201,"AKHURST, Alan",LP,26675,NA,34.9,7.31,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84412,Throsby,NSW,2001,201,"GEORGE, Jennie",ALP,49767,NA,65.1,-7.31,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85405,Warringah,NSW,2001,201,"MACDONALD, Peter",IND,34308,NA,44.33,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85405,Warringah,NSW,2001,201,"ABBOTT, Tony",LP,43085,NA,55.67,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81961,Watson,NSW,2001,201,"McLEAY, Leo",ALP,47374,NA,67.31,-0.31,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81961,Watson,NSW,2001,201,"PLOOY, Arnold",LP,23003,NA,32.69,0.31,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86457,Wentworth,NSW,2001,201,"KING, Peter",LP,43660,NA,57.86,0.49,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86457,Wentworth,NSW,2001,201,"NEILSON, Carolyn",ALP,31800,NA,42.14,-0.49,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83153,Werriwa,NSW,2001,201,"MASINA, Paul",LP,29677,NA,41.51,4.14,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83153,Werriwa,NSW,2001,201,"LATHAM, Mark",ALP,41810,NA,58.49,-4.14,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
57077,Lingiari,NT,2001,201,"KELLY, Ron",CLP,19551,NA,44.71,-1.77,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
57077,Lingiari,NT,2001,201,"SNOWDON, Warren",ALP,24182,NA,55.29,1.77,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
53945,Solomon,NT,2001,201,"HULL, Laurene",ALP,23670,NA,49.91,2.15,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
53945,Solomon,NT,2001,201,"TOLLNER, David",CLP,23758,NA,50.09,-2.15,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
76853,Blair,Qld,2001,201,"THOMPSON, Cameron P",LP,40727,NA,58.5,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
76853,Blair,Qld,2001,201,"WENDT, Wayne",ALP,28894,NA,41.5,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87122,Bowman,Qld,2001,201,"LAMING, Andrew",LP,38491,NA,48.58,1.87,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87122,Bowman,Qld,2001,201,"SCIACCA, Con",ALP,40742,NA,51.42,-1.87,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
95781,Brisbane,Qld,2001,201,"MONSOUR, Seb",LP,40180,NA,46.87,1.46,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
95781,Brisbane,Qld,2001,201,"BEVIS, Arch",ALP,45548,NA,53.13,-1.46,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81499,Capricornia,Qld,2001,201,"LEVER, John",NP,32233,NA,43.14,-1.57,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81499,Capricornia,Qld,2001,201,"LIVERMORE, Kirsten",ALP,42492,NA,56.86,1.57,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87405,Dawson,Qld,2001,201,"KELLY, De-Anne",NP,45987,NA,57.99,3.58,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87405,Dawson,Qld,2001,201,"FEENEY, Cherry",ALP,33313,NA,42.01,-3.58,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
88001,Dickson,Qld,2001,201,"KERNOT, Cheryl",ALP,35155,NA,44.03,-6.09,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
88001,Dickson,Qld,2001,201,"DUTTON, Peter",LP,44688,NA,55.97,6.09,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86004,Fadden,Qld,2001,201,"MERLEHAN, Ray",ALP,28962,NA,37.71,-4.7,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86004,Fadden,Qld,2001,201,"JULL, David Francis",LP,47838,NA,62.29,4.7,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84217,Fairfax,Qld,2001,201,"SOMLYAY, Alex",LP,45135,NA,59.21,4.85,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84217,Fairfax,Qld,2001,201,"HENDERSON, John",ALP,31095,NA,40.79,-4.85,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85315,Fisher,Qld,2001,201,"O'DONNELL, Ray",ALP,29335,NA,37.94,-1.07,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85315,Fisher,Qld,2001,201,"SLIPPER, Peter",LP,47988,NA,62.06,1.07,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86672,Forde,Qld,2001,201,"SMITH, Val",ALP,32835,NA,42.62,-2.13,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86672,Forde,Qld,2001,201,"ELSON, Kay",LP,44207,NA,57.38,2.13,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
92367,Griffith,Qld,2001,201,"VASTA, Ross",LP,37160,NA,44.34,-3.24,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
92367,Griffith,Qld,2001,201,"RUDD, Kevin",ALP,46654,NA,55.66,3.24,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84838,Groom,Qld,2001,201,"MACFARLANE, Ian",LP,50802,NA,65.09,2.05,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84838,Groom,Qld,2001,201,"KING, Leeann",ALP,27246,NA,34.91,-2.05,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
90904,Herbert,Qld,2001,201,"HILL, Jenny",ALP,39790,NA,48.38,-1.52,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
90904,Herbert,Qld,2001,201,"LINDSAY, Peter",LP,42455,NA,51.62,1.52,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81566,Hinkler,Qld,2001,201,"DORRON, Cheryl",ALP,37328,NA,49.96,0.3,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81566,Hinkler,Qld,2001,201,"NEVILLE, Paul",NP,37392,NA,50.04,-0.3,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84739,Kennedy,Qld,2001,201,"NEILAN, Alan",ALP,22881,NA,30.31,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84739,Kennedy,Qld,2001,201,"KATTER, Bob",IND,52602,NA,69.69,NA,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85689,Leichhardt,Qld,2001,201,"ENTSCH, Warren",LP,41884,NA,56.39,2.34,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85689,Leichhardt,Qld,2001,201,"TREZISE, Matt",ALP,32385,NA,43.61,-2.34,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87642,Lilley,Qld,2001,201,"ROSS, David",LP,36159,NA,45.17,-1.7,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87642,Lilley,Qld,2001,201,"SWAN, Wayne",ALP,43899,NA,54.83,1.7,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83408,Longman,Qld,2001,201,"BECKETT, Stephen",ALP,35668,NA,47.28,-1.8,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
83408,Longman,Qld,2001,201,"BROUGH, Mal",LP,39774,NA,52.72,1.8,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
94653,McPherson,Qld,2001,201,"MAY, Margaret",LP,52839,NA,62.55,4.21,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
94653,McPherson,Qld,2001,201,"TRIGGER, Kellie",ALP,31639,NA,37.45,-4.21,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84022,Maranoa,Qld,2001,201,"BOWDEN, David L",ALP,25796,NA,33.99,-1.59,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84022,Maranoa,Qld,2001,201,"SCOTT, Bruce",NP,50103,NA,66.01,1.59,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
89483,Moncrieff,Qld,2001,201,"CIOBO, Steven",LP,50876,NA,65.42,2.59,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
89483,Moncrieff,Qld,2001,201,"CHATTERJEE, Victoria",ALP,26888,NA,34.58,-2.59,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
89254,Moreton,Qld,2001,201,"HARDGRAVE, Gary",LP,43535,NA,54.21,3.63,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
89254,Moreton,Qld,2001,201,"BROOKES, Kathleen",ALP,36777,NA,45.79,-3.63,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84787,Oxley,Qld,2001,201,"PARER, Kevin",LP,31988,NA,41.86,0.07,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
84787,Oxley,Qld,2001,201,"RIPOLL, Bernie",ALP,44427,NA,58.14,-0.07,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
89711,Petrie,Qld,2001,201,"HUME, Rosemary",ALP,38093,NA,46.58,-2.66,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
89711,Petrie,Qld,2001,201,"GAMBARO, Teresa",LP,43682,NA,53.42,2.66,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85204,Rankin,Qld,2001,201,"EMERSON, Craig",ALP,42267,NA,56.68,-2.01,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
85204,Rankin,Qld,2001,201,"WOOD, Paul John",LP,32303,NA,43.32,2.01,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
88171,Ryan,Qld,2001,201,"JOHNSON, Michael",LP,47928,NA,58.62,-0.9,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
88171,Ryan,Qld,2001,201,"SHORT, Leonie",ALP,33828,NA,41.38,0.9,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81391,Wide Bay,Qld,2001,201,"TRUSS, Warren",NP,44548,NA,60.73,7.86,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
81391,Wide Bay,Qld,2001,201,"TREMLIN, Russ",ALP,28811,NA,39.27,-7.86,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86538,Adelaide,SA,2001,201,"STANLEY, Tim",ALP,38585,NA,49.78,0.43,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
86538,Adelaide,SA,2001,201,"WORTH, Trish",LP,38928,NA,50.22,-0.43,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87836,Barker,SA,2001,201,"DETCHON, David",ALP,27416,NA,34.31,-1.65,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
87836,Barker,SA,2001,201,"SECKER, Patrick",LP,52491,NA,65.69,1.65,NA,https://results.aec.gov.au/10822/Website/index.html,missing from parliament handbook beta
