Id,Name,State,Year,ElectionID,Candidate,Party,votes_2cp,margin_2cp,margin_percentage_2cp,swing_2cp,Status,Note,source
24249,Bonner,Qld,2019,403,"BRISKEY, Jo",Labor,40115,-13957,42.59,-4.02,,NA,NA
24371,Boothby,SA,2019,403,"FLINT, Nicolle",Liberal,56812,3047,51.38,-1.33,Elected,NA,NA
24371,Boothby,SA,2019,403,"CLANCY, Nadia",Labor,53765,-3047,48.62,1.33,,NA,NA
24248,Bowman,Qld,2019,403,"LAMING, Andrew",Liberal National Party of Queensland,59237,20135,60.24,3.17,Elected,NA,NA
24248,Bowman,Qld,2019,403,"BASTER, Tom",Labor,39102,-20135,39.76,-3.17,,NA,NA
24363,Braddon,Tas,2019,403,"PEARCE, Gavin",Liberal,37151,4329,53.09,4.82,Elected,NA,NA
24363,Braddon,Tas,2019,403,"KEAY, Justine",Labor,32822,-4329,46.91,-4.82,,NA,NA
24292,Bradfield,NSW,2019,403,"FLETCHER, Paul",Liberal,63997,31851,66.56,-4.48,Elected,NA,NA
24292,Bradfield,NSW,2019,403,"HAVILAND, Chris",Labor,32146,-31851,33.44,4.48,,NA,NA
24327,Brand,WA,2019,403,"KING, Madeleine",Labor,50333,11825,56.66,-4.77,Elected,NA,NA
24327,Brand,WA,2019,403,"PLEITER, Jack",Liberal,38508,-11825,43.34,4.77,,NA,NA
24247,Brisbane,Qld,2019,403,"EVANS, Trevor",Liberal National Party of Queensland,55995,10033,54.92,-1.08,Elected,NA,NA
24247,Brisbane,Qld,2019,403,"NEWBURY, Paul",Labor,45962,-10033,45.08,1.08,,NA,NA
24376,Bruce,Vic,2019,403,"MacISAAC, John",Liberal,33351,-26338,35.85,-0.1,,NA,NA
24376,Bruce,Vic,2019,403,"HILL, Julian",Labor,59689,26338,64.15,0.1,Elected,NA,NA
24346,Burt,WA,2019,403,"KEOGH, Matt",Labor,48414,8788,54.99,-2.12,Elected,NA,NA
24346,Burt,WA,2019,403,"GOODE, David",Liberal,39626,-8788,45.01,2.12,,NA,NA
24291,Calare,NSW,2019,403,"JENNINGS, Jess",Labor,38282,-27724,36.71,-1.48,,NA,NA
24291,Calare,NSW,2019,403,"GEE, Andrew",Nationals,66006,27724,63.29,1.48,Elected,NA,NA
24393,Calwell,Vic,2019,403,"VAMVAKINOU, Maria",Labor,60164,32876,68.8,-0.93,Elected,NA,NA
24393,Calwell,Vic,2019,403,"HAMILTON, Genevieve",Liberal,27288,-32876,31.2,0.93,,NA,NA
24394,Canberra,ACT,2019,403,"PAYNE, Alicia",Labor,57961,29519,67.08,4.14,Elected,NA,NA
24394,Canberra,ACT,2019,403,"ZAKI, Mina",Liberal,28442,-29519,32.92,-4.14,,NA,NA
24326,Canning,WA,2019,403,"HASTIE, Andrew",Liberal,55947,21002,61.55,4.76,Elected,NA,NA
24326,Canning,WA,2019,403,"TEEDE, Mellisa",Labor,34945,-21002,38.45,-4.76,,NA,NA
24246,Capricornia,Qld,2019,403,"LANDRY, Michelle",Liberal National Party of Queensland,55475,21983,62.35,11.72,Elected,NA,NA
24246,Capricornia,Qld,2019,403,"ROBERTSON, Russell",Labor,33492,-21983,37.65,-11.72,,NA,NA
24377,Casey,Vic,2019,403,"SMITH, Tony",Liberal,54551,9274,54.64,0.1,Elected,NA,NA
24377,Casey,Vic,2019,403,"BRINDLE, Bill",Labor,45277,-9274,45.36,-0.1,,NA,NA
24290,Chifley,NSW,2019,403,"CHETTIPALLY, Livingston",Liberal,34245,-22516,37.63,6.82,,NA,NA
24290,Chifley,NSW,2019,403,"HUSIC, Ed",Labor,56761,22516,62.37,-6.82,Elected,NA,NA
24392,Chisholm,Vic,2019,403,"LIU, Gladys",Liberal,48005,1090,50.57,-2.34,Elected,NA,NA
24392,Chisholm,Vic,2019,403,"YANG, Jennifer",Labor,46915,-1090,49.43,2.34,,NA,NA
24343,Clark,Tas,2019,403,"WILKIE, Andrew",Independent,48653,29845,72.12,4.35,Elected,NA,NA
24343,Clark,Tas,2019,403,"McGREGOR, Ben",Labor,18808,-29845,27.88,-4.35,,NA,NA
24289,Cook,NSW,2019,403,"MORRISON, Scott",Liberal,64894,35765,69.02,3.63,Elected,NA,NA
24289,Cook,NSW,2019,403,"O'BRIEN, Simon",Labor,29129,-35765,30.98,-3.63,,NA,NA
24342,Cooper,Vic,2019,403,"RISSTROM, David",Greens,34464,-28553,35.35,-13.38,,NA,NA
24342,Cooper,Vic,2019,403,"KEARNEY, Ged",Labor,63017,28553,64.65,13.38,Elected,NA,NA
24391,Corangamite,Vic,2019,403,"COKER, Libby",Labor,51895,2170,51.07,1.04,Elected,NA,NA
24391,Corangamite,Vic,2019,403,"HENDERSON, Sarah",Liberal,49725,-2170,48.93,-1.04,,NA,NA
24390,Corio,Vic,2019,403,"MARLES, Richard",Labor,59572,20392,60.32,2.12,Elected,NA,NA
24390,Corio,Vic,2019,403,"THOMSON, Alastair",Liberal,39180,-20392,39.68,-2.12,,NA,NA
24325,Cowan,WA,2019,403,"ALY, Anne",Labor,43135,1417,50.83,0.15,Elected,NA,NA
24325,Cowan,WA,2019,403,"STEWART, Isaac",Liberal,41718,-1417,49.17,-0.15,,NA,NA
24288,Cowper,NSW,2019,403,"CONAGHAN, Pat",Nationals,59932,14336,56.79,2.23,Elected,NA,NA
24288,Cowper,NSW,2019,403,"OAKESHOTT, Robert James Murray",Independent,45596,-14336,43.21,-2.23,,NA,NA
24287,Cunningham,NSW,2019,403,"ATLEE, Chris",Liberal,36841,-26995,36.59,-0.09,,NA,NA
24287,Cunningham,NSW,2019,403,"BIRD, Sharon",Labor,63836,26995,63.41,0.09,Elected,NA,NA
24324,Curtin,WA,2019,403,"HAMMOND, Celia",Liberal,57296,25530,64.33,-6.37,Elected,NA,NA
24324,Curtin,WA,2019,403,"MEECHAM, Rob",Labor,31766,-25530,35.67,6.37,,NA,NA
24245,Dawson,Qld,2019,403,"CHRISTENSEN, George",Liberal National Party of Queensland,57405,25959,64.61,11.24,Elected,NA,NA
24245,Dawson,Qld,2019,403,"HASSAN, Belinda",Labor,31446,-25959,35.39,-11.24,,NA,NA
24389,Deakin,Vic,2019,403,"SUKKAR, Michael",Liberal,53288,9307,54.78,-1.66,Elected,NA,NA
24389,Deakin,Vic,2019,403,"MORRIS, Shireen",Labor,43981,-9307,45.22,1.66,,NA,NA
24260,Dickson,Qld,2019,403,"DUTTON, Peter",Liberal National Party of Queensland,52968,8988,54.64,2.95,Elected,NA,NA
24260,Dickson,Qld,2019,403,"FRANCE, Ali",Labor,43980,-8988,45.36,-2.95,,NA,NA
24286,Dobell,NSW,2019,403,"PILON, Jilly",Liberal,49209,-3035,48.5,3.31,,NA,NA
24286,Dobell,NSW,2019,403,"McBRIDE, Emma",Labor,52244,3035,51.5,-3.31,Elected,NA,NA
24388,Dunkley,Vic,2019,403,"MURPHY, Peta",Labor,51066,5304,52.74,1.71,Elected,NA,NA
24388,Dunkley,Vic,2019,403,"CREWTHER, Chris",Liberal,45762,-5304,47.26,-1.71,,NA,NA
24349,Durack,WA,2019,403,"PRICE, Melissa",Liberal,50332,22943,64.76,3.7,Elected,NA,NA
24349,Durack,WA,2019,403,"MORROW, Sharyn",Labor,27389,-22943,35.24,-3.7,,NA,NA
24285,Eden-Monaro,NSW,2019,403,"KELLY, Mike",Labor,50472,1685,50.85,-2.08,Elected,NA,NA
24285,Eden-Monaro,NSW,2019,403,"KOTVOJS, Fiona",Liberal,48787,-1685,49.15,2.08,,NA,NA
24262,Fadden,Qld,2019,403,"STANTON, Luz",Labor,34825,-27562,35.82,-2.94,,NA,NA
24262,Fadden,Qld,2019,403,"ROBERT, Stuart",Liberal National Party of Queensland,62387,27562,64.18,2.94,Elected,NA,NA
24279,Fairfax,Qld,2019,403,"O'BRIEN, Ted",Liberal National Party of Queensland,61944,26248,63.44,2.57,Elected,NA,NA
24279,Fairfax,Qld,2019,403,"McGLONE, Julie",Labor,35696,-26248,36.56,-2.57,,NA,NA
24284,Farrer,NSW,2019,403,"LEY, Sussan",Liberal,59260,21271,60.94,60.94,Elected,NA,NA
24284,Farrer,NSW,2019,403,"MACK, Kevin Francis",Independent,37989,-21271,39.06,39.06,,NA,NA
24348,Fenner,ACT,2019,403,"LEIGH, Andrew",Labor,52462,18291,60.56,-1.28,Elected,NA,NA
24348,Fenner,ACT,2019,403,"CASTLEY, Leanne",Liberal,34171,-18291,39.44,1.28,,NA,NA
24263,Fisher,Qld,2019,403,"PARSELL, Daniel",Labor,36948,-25152,37.3,-3.55,,NA,NA
24263,Fisher,Qld,2019,403,"WALLACE, Andrew",Liberal National Party of Queensland,62100,25152,62.7,3.55,Elected,NA,NA
24387,Flinders,Vic,2019,403,"HUNT, Greg",Liberal,53943,10934,55.64,-1.37,Elected,NA,NA
24387,Flinders,Vic,2019,403,"SINCLAIR, Josh",Labor,43009,-10934,44.36,1.37,,NA,NA
24278,Flynn,Qld,2019,403,"BEERS, Zac",Labor,36985,-15487,41.34,-7.62,,NA,NA
24278,Flynn,Qld,2019,403,"O'DOWD, Ken",Liberal National Party of Queensland,52472,15487,58.66,7.62,Elected,NA,NA
24277,Forde,Qld,2019,403,"VAN MANEN, Bert",Liberal National Party of Queensland,53635,15736,58.6,7.97,Elected,NA,NA
24277,Forde,Qld,2019,403,"HARDMAN, Des",Labor,37899,-15736,41.4,-7.97,,NA,NA
24323,Forrest,WA,2019,403,"MARINO, Nola",Liberal,58405,26348,64.56,2,Elected,NA,NA
24323,Forrest,WA,2019,403,"SANFORD, Wayne",Labor,32057,-26348,35.44,-2,,NA,NA
24283,Fowler,NSW,2019,403,"HAYES, Chris",Labor,53540,23416,63.99,-3.5,Elected,NA,NA
24283,Fowler,NSW,2019,403,"BLEWITT, Wayne",Liberal,30124,-23416,36.01,3.5,,NA,NA
24362,Franklin,Tas,2019,403,"YOUNG, Dean",Liberal,26555,-17151,37.79,-1.48,,NA,NA
24362,Franklin,Tas,2019,403,"COLLINS, Julie",Labor,43706,17151,62.21,1.48,Elected,NA,NA
24318,Fraser,ACT,2019,403,"BAIN, Peter",Liberal,33156,-26247,35.82,5.61,,NA,NA
24318,Fraser,ACT,2019,403,"MULINO, Daniel",Labor,59403,26247,64.18,-5.61,Elected,NA,NA
24322,Fremantle,WA,2019,403,"WILSON, Josh",Labor,51852,12601,56.92,-0.6,Elected,NA,NA
24322,Fremantle,WA,2019,403,"ROBINS, Nicole",Liberal,39251,-12601,43.08,0.6,,NA,NA
24386,Gellibrand,Vic,2019,403,"WATTS, Tim",Labor,63878,29225,64.83,-0.29,Elected,NA,NA
24386,Gellibrand,Vic,2019,403,"MITCHELL, Anthony",Liberal,34653,-29225,35.17,0.29,,NA,NA
24298,Gilmore,NSW,2019,403,"PHILLIPS, Fiona",Labor,56652,5627,52.61,3.34,Elected,NA,NA
24298,Gilmore,NSW,2019,403,"MUNDINE, Warren",Liberal,51025,-5627,47.39,-3.34,,NA,NA
24385,Gippsland,Vic,2019,403,"HOLM, Antoinette",Labor,32222,-32234,33.33,1.54,,NA,NA
24385,Gippsland,Vic,2019,403,"CHESTER, Darren",Nationals,64456,32234,66.67,-1.54,Elected,NA,NA
24384,Goldstein,Vic,2019,403,"POLLOCK, Daniel",Labor,41928,-15480,42.21,4.89,,NA,NA
24384,Goldstein,Vic,2019,403,"WILSON, Tim",Liberal,57408,15480,57.79,-4.89,Elected,NA,NA
24383,Gorton,Vic,2019,403,"O'CONNOR, Brendan",Labor,61861,29081,65.36,-3.13,Elected,NA,NA
24383,Gorton,Vic,2019,403,"DI NOIA, Nathan",Liberal,32780,-29081,34.64,3.13,,NA,NA
24300,Grayndler,NSW,2019,403,"CASEY, Jim",Greens,32285,-31244,33.7,-0.48,,NA,NA
24300,Grayndler,NSW,2019,403,"ALBANESE, Anthony",Labor,63529,31244,66.3,0.48,Elected,NA,NA
24317,Greenway,NSW,2019,403,"GREEN, Allan",Liberal,45082,-5343,47.2,3.51,,NA,NA
24317,Greenway,NSW,2019,403,"ROWLAND, Michelle",Labor,50425,5343,52.8,-3.51,Elected,NA,NA
24370,Grey,SA,2019,403,"BOLTON, Karin",Labor,37943,-27561,36.68,-5.57,,NA,NA
24370,Grey,SA,2019,403,"RAMSEY, Rowan",Liberal,65504,27561,63.32,5.57,Elected,NA,NA
24276,Griffith,Qld,2019,403,"ROBERTS, Olivia",Liberal National Party of Queensland,46958,-5701,47.14,-1.43,,NA,NA
24276,Griffith,Qld,2019,403,"BUTLER, Terri",Labor,52659,5701,52.86,1.43,Elected,NA,NA
24275,Groom,Qld,2019,403,"McVEIGH, John",Liberal National Party of Queensland,67274,39100,70.48,5.17,Elected,NA,NA
24275,Groom,Qld,2019,403,"KAY, Troy",Labor,28174,-39100,29.52,-5.17,,NA,NA
24321,Hasluck,WA,2019,403,"WYATT, Ken",Liberal,46637,9074,55.39,3.34,Elected,NA,NA
24321,Hasluck,WA,2019,403,"MARTIN, James",Labor,37563,-9074,44.61,-3.34,,NA,NA
24274,Herbert,Qld,2019,403,"THOMPSON, Phillip",Liberal National Party of Queensland,53641,15365,58.36,8.38,Elected,NA,NA
24274,Herbert,Qld,2019,403,"O'TOOLE, Cathy",Labor,38276,-15365,41.64,-8.38,,NA,NA
24382,Higgins,Vic,2019,403,"ALLEN, Katie",Liberal,54139,7800,53.88,-6.09,Elected,NA,NA
24382,Higgins,Vic,2019,403,"McLEOD, Fiona",Labor,46339,-7800,46.12,6.09,,NA,NA
24369,Hindmarsh,SA,2019,403,"BUTLER, Mark",Labor,61606,14257,56.54,-1.89,Elected,NA,NA
24369,Hindmarsh,SA,2019,403,"HALL-EVANS, Jake",Liberal,47349,-14257,43.46,1.89,,NA,NA
24273,Hinkler,Qld,2019,403,"PITT, Keith",Liberal National Party of Queensland,59384,26701,64.5,6.12,Elected,NA,NA
24273,Hinkler,Qld,2019,403,"PASCOE, Richard",Labor,32683,-26701,35.5,-6.12,,NA,NA
24381,Holt,Vic,2019,403,"BYRNE, Anthony",Labor,55577,16467,58.7,-1.24,Elected,NA,NA
24381,Holt,Vic,2019,403,"VAN DEN BROEK, Jennifer",Liberal,39110,-16467,41.3,1.24,,NA,NA
24380,Hotham,Vic,2019,403,"O'NEIL, Clare",Labor,53597,11326,55.91,1.7,Elected,NA,NA
24380,Hotham,Vic,2019,403,"HUA, George",Liberal,42271,-11326,44.09,-1.7,,NA,NA
24301,Hughes,NSW,2019,403,"KELLY, Craig",Liberal,57149,18807,59.85,0.52,Elected,NA,NA
24301,Hughes,NSW,2019,403,"STEINWALL, Diedree",Labor,38342,-18807,40.15,-0.52,,NA,NA
24316,Hume,NSW,2019,403,"CHAMPION, Aoife",Labor,37915,-26612,37.01,-2.81,,NA,NA
24316,Hume,NSW,2019,403,"TAYLOR, Angus",Liberal,64527,26612,62.99,2.81,Elected,NA,NA
24315,Hunter,NSW,2019,403,"ANGUS, Josh",Nationals,47976,-6074,47.02,9.48,,NA,NA
24315,Hunter,NSW,2019,403,"FITZGIBBON, Joel",Labor,54050,6074,52.98,-9.48,Elected,NA,NA
24379,Indi,Vic,2019,403,"HAINES, Helen",Independent,51886,2816,51.39,-4.13,Elected,NA,NA
24379,Indi,Vic,2019,403,"MARTIN, Steve",Liberal,49070,-2816,48.61,4.13,,NA,NA
24378,Isaacs,Vic,2019,403,"HEARN, Jeremy",Liberal,42192,-12453,43.57,-3.45,,NA,NA
24378,Isaacs,Vic,2019,403,"DREYFUS, Mark",Labor,54645,12453,56.43,3.45,Elected,NA,NA
24358,Jagajaga,Vic,2019,403,"THWAITES, Kate",Labor,55304,12841,56.57,0.97,Elected,NA,NA
24358,Jagajaga,Vic,2019,403,"WELCH, Richard",Liberal,42463,-12841,43.43,-0.97,,NA,NA
24272,Kennedy,Qld,2019,403,"KATTER, Bob",Katter's Australian Party,58231,24514,63.33,2.33,Elected,NA,NA
24272,Kennedy,Qld,2019,403,"BEVERIDGE, Frank",Liberal National Party of Queensland,33717,-24514,36.67,-2.33,,NA,NA
24314,Kingsford Smith,NSW,2019,403,"THISTLETHWAITE, Matt",Labor,55501,16626,58.81,0.24,Elected,NA,NA
24314,Kingsford Smith,NSW,2019,403,"WILMOT, Amanda",Liberal,38875,-16626,41.19,-0.24,,NA,NA
24368,Kingston,SA,2019,403,"RISHWORTH, Amanda",Labor,65708,25335,61.94,-1.61,Elected,NA,NA
24368,Kingston,SA,2019,403,"CURRAN, Laura",Liberal,40373,-25335,38.06,1.61,,NA,NA
24375,Kooyong,Vic,2019,403,"FRYDENBERG, Josh",Liberal,55159,11289,55.7,55.7,Elected,NA,NA
24375,Kooyong,Vic,2019,403,"BURNSIDE, Julian",Greens,43870,-11289,44.3,44.3,,NA,NA
24357,La Trobe,Vic,2019,403,"WOOD, Jason",Liberal,53776,8863,54.49,1.27,Elected,NA,NA
24357,La Trobe,Vic,2019,403,"CURTIS, Simon",Labor,44913,-8863,45.51,-1.27,,NA,NA
24337,Lalor,Vic,2019,403,"MURPHY, Gayle",Liberal,35137,-23204,37.59,1.78,,NA,NA
24337,Lalor,Vic,2019,403,"RYAN, Joanne",Labor,58341,23204,62.41,-1.78,Elected,NA,NA
24271,Leichhardt,Qld,2019,403,"FAITH, Elida",Labor,41147,-7491,45.83,-0.22,,NA,NA
24271,Leichhardt,Qld,2019,403,"ENTSCH, Warren",Liberal National Party of Queensland,48638,7491,54.17,0.22,Elected,NA,NA
24270,Lilley,Qld,2019,403,"CARSWELL, Brad",Liberal National Party of Queensland,47688,-1229,49.36,5.04,,NA,NA
24270,Lilley,Qld,2019,403,"WELLS, Anika",Labor,48917,1229,50.64,-5.04,Elected,NA,NA
24313,Lindsay,NSW,2019,403,"BEAMER, Diane",Labor,43789,-9825,44.96,-6.15,,NA,NA
24313,Lindsay,NSW,2019,403,"McINTOSH, Melissa",Liberal,53614,9825,55.04,6.15,Elected,NA,NA
24252,Lingiari,NT,2019,403,"SNOWDON, Warren",Labor,26863,5292,55.46,-2.73,Elected,NA,NA
24252,Lingiari,NT,2019,403,"PRICE, Jacinta",Country Liberal,21571,-5292,44.54,2.73,,NA,NA
24269,Longman,Qld,2019,403,"YOUNG, Terry",Liberal National Party of Queensland,53037,6525,53.28,4.07,Elected,NA,NA
24269,Longman,Qld,2019,403,"LAMB, Susan",Labor,46512,-6525,46.72,-4.07,,NA,NA
24312,Lyne,NSW,2019,403,"COSTA, Phil",Labor,35238,-30704,34.83,-3.54,,NA,NA
24312,Lyne,NSW,2019,403,"GILLESPIE, David",Nationals,65942,30704,65.17,3.54,Elected,NA,NA
24361,Lyons,Tas,2019,403,"MITCHELL, Brian",Labor,39491,7418,55.18,1.35,Elected,NA,NA
24361,Lyons,Tas,2019,403,"WHELAN, Jessica",Liberal,32073,-7418,44.82,-1.35,,NA,NA
24311,Macarthur,NSW,2019,403,"FREELANDER, Mike",Labor,58110,16716,58.4,0.07,Elected,NA,NA
24311,Macarthur,NSW,2019,403,"MUNRO, Riley",Liberal,41394,-16716,41.6,-0.07,,NA,NA
24310,Mackellar,NSW,2019,403,"STEELE, Declan",Labor,36138,-25986,36.78,2.52,,NA,NA
24310,Mackellar,NSW,2019,403,"FALINSKI, Jason",Liberal,62124,25986,63.22,-2.52,Elected,NA,NA
24341,Macnamara,Vic,2019,403,"ASHMOR, Kate",Liberal,42479,-12134,43.75,-5.04,,NA,NA
24341,Macnamara,Vic,2019,403,"BURNS, Josh",Labor,54613,12134,56.25,5.04,Elected,NA,NA
24309,Macquarie,NSW,2019,403,"RICHARDS, Sarah",Liberal,48290,-371,49.81,2,,NA,NA
24309,Macquarie,NSW,2019,403,"TEMPLEMAN, Susan",Labor,48661,371,50.19,-2,Elected,NA,NA
24367,Makin,SA,2019,403,"ZAPPIA, Tony",Labor,63726,20748,59.72,-1.07,Elected,NA,NA
24367,Makin,SA,2019,403,"DAVE, Hemant",Liberal,42978,-20748,40.28,1.07,,NA,NA
24335,Mallee,Vic,2019,403,"WEBSTER, Anne",Nationals,62143,30459,66.23,-3.57,Elected,NA,NA
24335,Mallee,Vic,2019,403,"HART, Carole",Labor,31684,-30459,33.77,3.57,,NA,NA
24268,Maranoa,Qld,2019,403,"LITTLEPROUD, David",Liberal National Party of Queensland,67239,41718,72.49,6.63,Elected,NA,NA
24268,Maranoa,Qld,2019,403,"MOULDEN, Rosemary",One Nation,25521,-41718,27.51,-6.63,,NA,NA
24334,Maribyrnong,Vic,2019,403,"SHORTEN, Bill",Labor,61767,22610,61.2,0.8,Elected,NA,NA
24334,Maribyrnong,Vic,2019,403,"STOW, Christine",Liberal,39157,-22610,38.8,-0.8,,NA,NA
24366,Mayo,SA,2019,403,"DOWNER, Georgina",Liberal,50552,-11572,44.86,-2.22,,NA,NA
24366,Mayo,SA,2019,403,"SHARKIE, Rebekha",Nick Xenophon Group,62124,11572,55.14,2.22,Elected,NA,NA
24333,McEwen,Vic,2019,403,"MITCHELL, Rob",Labor,52892,9656,55.02,-0.98,Elected,NA,NA
24333,McEwen,Vic,2019,403,"FUSCO, Phillip",Liberal,43236,-9656,44.98,0.98,,NA,NA
24351,McMahon,NSW,2019,403,"BOWEN, Chris",Labor,48364,11335,56.64,-5.47,Elected,NA,NA
24351,McMahon,NSW,2019,403,"SINGHA, Vivek",Liberal,37029,-11335,43.36,5.47,,NA,NA
24267,McPherson,Qld,2019,403,"SANTELISES, Aaron",Labor,34976,-22569,37.8,-0.56,,NA,NA
24267,McPherson,Qld,2019,403,"ANDREWS, Karen",Liberal National Party of Queensland,57545,22569,62.2,0.56,Elected,NA,NA
24332,Melbourne,Vic,2019,403,"BANDT, Adam",Greens,66852,40640,71.83,2.79,Elected,NA,NA
24332,Melbourne,Vic,2019,403,"SHERSON, Lauren",Liberal,26212,-40640,28.17,-2.79,,NA,NA
24331,Menzies,Vic,2019,403,"ANDREWS, Kevin",Liberal,56568,14810,57.53,-0.28,Elected,NA,NA
24331,Menzies,Vic,2019,403,"YEE, Stella",Labor,41758,-14810,42.47,0.28,,NA,NA
24308,Mitchell,NSW,2019,403,"SELVARAJ, Immanuel",Labor,30938,-36760,31.37,-0.81,,NA,NA
24308,Mitchell,NSW,2019,403,"HAWKE, Alex",Liberal,67698,36760,68.63,0.81,Elected,NA,NA
24340,Monash,Vic,2019,403,"O'DONNELL, Jessica",Labor,42850,-14781,42.64,0.15,,NA,NA
24340,Monash,Vic,2019,403,"BROADBENT, Russell",Liberal,57631,14781,57.36,-0.15,Elected,NA,NA
24266,Moncrieff,Qld,2019,403,"BELL, Angie",Liberal National Party of Queensland,60079,28239,65.36,0.75,Elected,NA,NA
24266,Moncrieff,Qld,2019,403,"BELL, Tracey",Labor,31840,-28239,34.64,-0.75,,NA,NA
24336,Moore,WA,2019,403,"GOODENOUGH, Ian",Liberal,54735,20691,61.65,0.63,Elected,NA,NA
24336,Moore,WA,2019,403,"O'GORMAN, Tony",Labor,34044,-20691,38.35,-0.63,,NA,NA
24265,Moreton,Qld,2019,403,"PERRETT, Graham",Labor,47045,3448,51.9,-2.12,Elected,NA,NA
24265,Moreton,Qld,2019,403,"OWEN, Angela",Liberal National Party of Queensland,43597,-3448,48.1,2.12,,NA,NA
24307,New England,NSW,2019,403,"JOYCE, Barnaby",Nationals,62637,27954,64.36,64.36,Elected,NA,NA
24307,New England,NSW,2019,403,"BLAKESTER, Adam",Independent,34683,-27954,35.64,35.64,,NA,NA
24306,Newcastle,NSW,2019,403,"CLAYDON, Sharon",Labor,65784,28501,63.83,-0.01,Elected,NA,NA
24306,Newcastle,NSW,2019,403,"WARK, Katrina",Liberal,37283,-28501,36.17,0.01,,NA,NA
24244,Nicholls,Vic,2019,403,"DRUM, Damian",Nationals,66732,38172,70.03,-2.49,Elected,NA,NA
24244,Nicholls,Vic,2019,403,"LODWICK, Bill",Labor,28560,-38172,29.97,2.49,,NA,NA
24305,North Sydney,NSW,2019,403,"STONE, Brett",Labor,39438,-17960,40.73,4.34,,NA,NA
24305,North Sydney,NSW,2019,403,"ZIMMERMAN, Trent",Liberal,57398,17960,59.27,-4.34,Elected,NA,NA
24338,O'Connor,WA,2019,403,"PAYNE, Shelley",Labor,30536,-24885,35.52,0.56,,NA,NA
24338,O'Connor,WA,2019,403,"WILSON, Rick",Liberal,55421,24885,64.48,-0.56,Elected,NA,NA
24264,Oxley,Qld,2019,403,"BAUER, Russell",Liberal National Party of Queensland,39473,-11577,43.61,2.62,,NA,NA
24264,Oxley,Qld,2019,403,"DICK, Milton",Labor,51050,11577,56.39,-2.62,Elected,NA,NA
24304,Page,NSW,2019,403,"HOGAN, Kevin",Nationals,64295,20439,59.45,7.15,Elected,NA,NA
